File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40
fe0300323,159,A,499.76,508.43,8.67,i don't think that's good enough though  like too bad for him because they've tried for three years and she's done bent over backwards for the guy and everything ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,i,don't,think,that's,good,enough,though,like,too,bad,for,him,because,they've,tried,for,three,years,and,she's,done ,bent,over,backwards,for,the,guy,and,everything,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300441,25,A,63.3,65.66,2.36,i done forgot the name of that company but it was a real ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,done ,forgot,the,name,of,that,company,but,it,was,a,real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300505,116,B,227.77,229.4,1.63,i done missed a ten dollar phone call ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,done ,missed,a,ten,dollar,phone,call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300783,15,B,45.89,55.01,9.12,yes any money in pockets to pay somebody to do them for you that comes later after you've done made all the money you could  but yeah really especially in the ozarks ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,any,money,in,pockets,to,pay,somebody,to,do,them,for,you,that,comes,later,after,you've,done ,made,all,the,money,you,could,but,yeah,really,especially,in,the,ozarks,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300972,218,A,595.31,599.9,4.59,and after we had done went through it like three times spent about two hundred bucks on ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,after,we,had,done ,went,through,it,like,three,times,spent,about,two,hundred,bucks,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0301176,63,B,160.63,168.34,7.71,and i had done registered for a lot of them before i ever found um the money and shopping dot com so i know that there are some on there that i have not registered at yet but um ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,i,had,done ,registered,for,a,lot,of,them,before,i,ever,found,um,the,money,and,shopping,dot,com,so,i,know,that,there,are,some,on,there,that,i,have,not,registered,at,yet,but,um,,,,,
fe0302112,157,B,475.24,481.01,5.77,he's gone now she done moved to new york and married another guy so i don't talk to her very often any more  ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,he's,gone,now,she,done ,moved,to,new,york,and,married,another,guy,so,i,don't,talk,to,her,very,often,any,more,,,,,,,,,,,,,,,,,,,,,,
fe0302457,126,B,371.51,374.4,2.89,no he no he's not done trained ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,he,no,he's,not,done ,trained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0302649,28,B,99.59,108.68,9.09,   you'll notice that all other holidays either you spend this   or you spend that and you get now you're trying to make up the money you done spent  ,1,1,,,,,,,,,,,,,,,,,,,,you'll,notice,that,all,other,holidays,either,you,spend,this,or,you,spend,that,and,you,get,now,you're,trying,to,make,up,the,money,you,done ,spent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0303309,89,A,237.15,242.8,5.65,done done taken care of that all done  yeah ,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,done,done,taken,care,of,that,all,done ,yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0303448,114,B,407.78,416.37,8.59,a true friend somebody who when i know i done did something terrible like my fiance when i done something terrible i go to him and tell him ,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,true,friend,somebody,who,when,i,know,i,done,did,something,terrible,like,my,fiance,when,i,done ,something,terrible,i,go,to,him,and,tell,him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0303451,91,A,260.76,273.69,12.93,b. j. really doesn't care i mean he's older than me and he's done went through all that you know where he partied and all that and you know and i'm just now ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b.,j.,really,doesn't,care,i,mean,he's,older,than,me,and,he's,done ,went,through,all,that,you,know,where,he,partied,and,all,that,and,you,know,and,i'm,just,now,,,,,,,,,,,,,,,,,,,,,
fe0304229,81,B,254.46,260.46,6.0,i feel you did the right thing but i guess you have guilt feelings about it and you think you should have done  had the baby right   ,1,1,,,,,,,,,,,,,,,,,,,,,,,,i,feel,you,did,the,right,thing,but,i,guess,you,have,guilt,feelings,about,it,and,you,think,you,should,have,done ,had,the,baby,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0304308,185,B,495.91,506.85,10.94,has kinda worked itself out or is no longer important you know like the whole career thing it's kinda like i've done been there done that ,2,1,,,,,,,,,,,,,,,,,,,,,,has,kinda,worked,itself,out,or,is,no,longer,important,you,know,like,the,whole,career,thing,it's,kinda,like,i've,done,been,there,done ,that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0304688,43,A,158.35,164.72,6.37,and they send it  i get it sometimes i guess some people done sold my paper before i go downstairs and get it  ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,they,send,it,i,get,it,sometimes,i,guess,some,people,done ,sold,my,paper,before,i,go,downstairs,and,get,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0304707,37,A,106.36,114.94,8.58, well it was friday night and saturday morning and   i played i played this other guy that that's a church member and we done played some chess  so   ,1,1,,,,,,,,,,,,,,,,,,,,,,,well,it,was,friday,night,and,saturday,morning,and,i,played,i,played,this,other,guy,that,that's,a,church,member,and,we,done ,played,some,chess,so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305302,33,A,86.57,90.41,3.84,and by the time you figure out what it is it's probably done killed a million people ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,by,the,time,you,figure,out,what,it,is,it's,probably,done ,killed,a,million,people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305348,17,A,24.14,30.35,6.21,hell yeah  i done been divorced it didn't happen that first time   ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hell,yeah,i,done ,been,divorced,it,didn't,happen,that,first,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305348,172,A,421.35,424.85,3.5,'cause i'm telling you i mean i done been through the rehab and all that other crap you know ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'cause,i'm,telling,you,i,mean,i,done ,been,through,the,rehab,and,all,that,other,crap,you,know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305358,17,B,34.18,38.11,3.93, well what was it they ask us uh what is   i done forget what they ask  ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well,what,was,it,they,ask,us,uh,what,is,i,done ,forget,what,they,ask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305469,93,A,261.7,270.4,8.7,okay now they they done fought for their right to smoke and vote and do all of that and now you wanna take the right back from them as well as from the men ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,okay,now,they,they,done ,fought,for,their,right,to,smoke,and,vote,and,do,all,of,that,and,now,you,wanna,take,the,right,back,from,them,as,well,as,from,the,men,,,,,,,,,,,
fe0305476,56,A,152.43,161.0,8.57, and we should be uncomfortable 'cause they over here we done taught them all kinds of things you know what i'm saying if they wanted to go postal on us they could  ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,we,should,be,uncomfortable,'cause,they,over,here,we,done ,taught,them,all,kinds,of,things,you,know,what,i'm,saying,if,they,wanted,to,go,postal,on,us,they,could,,,,,,,,,,,,,,,,,,,
fe0305829,22,A,36.18,41.55,5.37,yeah they ripped apart the they've done ripped apart the stock market that's for sure ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,they,ripped,apart,the,they've,done ,ripped,apart,the,stock,market,that's,for,sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0306070,43,B,127.41,131.04,3.63,oh wait a minute i've done got confused j. n. l. ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh,wait,a,minute,i've,done ,got,confused,j.,n.,l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0306070,121,B,336.51,348.9,12.39,my mother she wouldn't even fool with it she says oh i done got too old i'm not gonna learn so you have to just be willing to to to do it but d- do they have educational uh uh ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,my,mother,she,wouldn't,even,fool,with,it,she,says,oh,i,done ,got,too,old,i'm,not,gonna,learn,so,you,have,to,just,be,willing,to,to,to,do,it,but,d-,do,they,have,educational,uh,uh,,,,,,,,,,,,,
fe0306190,36,B,89.74,93.14,3.4,they should've done been in but it's just been so wet ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,should've,done ,been,in,but,it's,just,been,so,wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0306333,122,B,429.77,440.2,10.43,and the doctor said well since you've cut down so dramatically from what you were smoking you know you've probably done did the baby more good than you did harm you know by smoking ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,and,the,doctor,said,well,since,you've,cut,down,so,dramatically,from,what,you,were,smoking,you,know,you've,probably,done ,did,the,baby,more,good,than,you,did,harm,you,know,by,smoking,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0306857,37,B,113.92,119.52,5.6,well you see i mine i guess they done met all all that 'cause you know like i said when i took my sister out there they um ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well,you,see,i,mine,i,guess,they,done ,met,all,all,that,'cause,you,know,like,i,said,when,i,took,my,sister,out,there,they,um,,,,,,,,,,,,,,,,,,,,,
fe0307047,151,A,454.48,467.17,12.69,  well i i signed up on it it was kind of a happened upon it type thing and i didn't bookmark it and i was like okay  'cause i've done completed one call and i was like oh where do i go back and check  it out  ah ,1,1,,,,,,,,,,,,,,,,,well,i,i,signed,up,on,it,it,was,kind,of,a,happened,upon,it,type,thing,and,i,didn't,bookmark,it,and,i,was,like,okay,'cause,i've,done ,completed,one,call,and,i,was,like,oh,where,do,i,go,back,and,check,it,out,ah,,,,,,,,,,,,,,,,,,,,,,
fe0307151,90,A,215.38,223.31,7.93,but only just the internet part that's the only part i know how to use but right now i done did something to it that i really don't even know what's wrong with it ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,but,only,just,the,internet,part,that's,the,only,part,i,know,how,to,use,but,right,now,i,done ,did,something,to,it,that,i,really,don't,even,know,what's,wrong,with,it,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307301,65,A,234.76,239.77,5.01,yeah you done had your fill of the deli meats by then haven't you ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,you,done ,had,your,fill,of,the,deli,meats,by,then,haven't,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307364,10,B,37.51,41.39,3.88,ah now you know i done got confused now  ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ah,now,you,know,i,done ,got,confused,now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307458,91,B,199.34,201.36,2.02,all of 'em done did albums ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all,of,'em,done ,did,albums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307458,146,B,329.05,332.45,3.4,how much time do you think we done did   ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,how,much,time,do,you,think,we,done ,did,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307910,59,B,204.16,208.73,4.57,and i can count on just on my my my one hand how many best friends i done had ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,i,can,count,on,just,on,my,my,my,one,hand,how,many,best,friends,i,done ,had,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308273,112,A,338.06,347.03,8.97,this is her first time having a call she said she didn't know wh-  i'm talk telling my husband didn't know what we're supposed to talk about 'cause we're done finished talking about the censorship ,1,1,,,,,,,,,,,,,,,,,this,is,her,first,time,having,a,call,she,said,she,didn't,know,wh-,i'm,talk,telling,my,husband,didn't,know,what,we're,supposed,to,talk,about,'cause,we're,done ,finished,talking,about,the,censorship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308322,217,B,520.03,525.83,5.8,don't do nothing too strenuous 'cause you know next thing you know you done you done broke your you done throw your back out or something ,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,don't,do,nothing,too,strenuous,'cause,you,know,next,thing,you,know,you,done ,you,done,broke,your,you,done,throw,your,back,out,or,something,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308322,217,B,520.03,525.83,5.8,don't do nothing too strenuous 'cause you know next thing you know you done you done broke your you done throw your back out or something ,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,don't,do,nothing,too,strenuous,'cause,you,know,next,thing,you,know,you,done,you,done ,broke,your,you,done,throw,your,back,out,or,something,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308322,217,B,520.03,525.83,5.8,don't do nothing too strenuous 'cause you know next thing you know you done you done broke your you done throw your back out or something ,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,don't,do,nothing,too,strenuous,'cause,you,know,next,thing,you,know,you,done,you,done,broke,your,you,done ,throw,your,back,out,or,something,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308377,32,B,135.44,142.04,6.6, it was some woman doing it i done forgot now but you know  i've done it it's been a while yeah ,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it,was,some,woman,doing,it,i,done,forgot,now,but,you,know,i've,done ,it,it's,been,a,while,yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308420,80,B,274.1,276.69,2.59,have you done been doing this long or ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,have,you,done ,been,doing,this,long,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308797,17,B,40.16,44.24,4.08,that's i know i've been where you're at and done been there done done that one ,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,that's,i,know,i've,been,where,you're,at,and,done ,been,there,done,done,that,one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308797,17,B,40.16,44.24,4.08,that's i know i've been where you're at and done been there done done that one ,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,that's,i,know,i've,been,where,you're,at,and,done,been,there,done ,done,that,one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308797,17,B,40.16,44.24,4.08,that's i know i've been where you're at and done been there done done that one ,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,that's,i,know,i've,been,where,you're,at,and,done,been,there,done,done ,that,one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308941,168,B,584.69,596.27,11.58,and she said and she's eighty years old she said oh i was just sitting here si- rocking my babies and i looked at her i said rocking your babies i thought she'd done gone i was going oh something's wrong with her ,1,1,,,,,,,,,,,,,and,she,said,and,she's,eighty,years,old,she,said,oh,i,was,just,sitting,here,si-,rocking,my,babies,and,i,looked,at,her,i,said,rocking,your,babies,i,thought,she'd,done ,gone,i,was,going,oh,something's,wrong,with,her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309084,70,A,226.91,235.67,8.76,oh so they can do that so they they done cooked all their lives now they want to go to um  to a diner and eat you know ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh,so,they,can,do,that,so,they,they,done ,cooked,all,their,lives,now,they,want,to,go,to,um,to,a,diner,and,eat,you,know,,,,,,,,,,,,,,,,,,,,,,
fe0309129,148,A,398.19,401.58,3.39,ho- well how many times have you done used the hotline ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ho-,well,how,many,times,have,you,done ,used,the,hotline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309409,19,A,50.64,53.17,2.53,now that they done killed the two brothers ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,now,that,they,done ,killed,the,two,brothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309753,127,B,390.62,399.06,8.44,mhm  well by that time everything else done gone up right  so we're back at square one  ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mhm,well,by,that,time,everything,else,done ,gone,up,right,so,we're,back,at,square,one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309957,73,A,199.2,203.15,3.95,one 'posed to come around 'bout three but it seemed like it done passed over ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one,'posed,to,come,around,'bout,three,but,it,seemed,like,it,done ,passed,over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310000,45,A,112.76,116.56,3.8,'cause i hav- i done heard a lotta of my friends be saying you know ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'cause,i,hav-,i,done ,heard,a,lotta,of,my,friends,be,saying,you,know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310237,76,B,274.24,282.03,7.79,yeah it changed the whole lot all the years society done changed a lot they ain't got a whole lotta things that are modern than they would back long time ago when ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,it,changed,the,whole,lot,all,the,years,society,done ,changed,a,lot,they,ain't,got,a,whole,lotta,things,that,are,modern,than,they,would,back,long,time,ago,when,,,,,,,,,,,,,,,,,,,
fe0310239,147,A,456.29,459.93,3.64,mhm mhm you done got quiet on me ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mhm,mhm,you,done ,got,quiet,on,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310371,13,A,24.6,29.44,4.84,we- well all i can say is i've done got me a good education ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,we-,well,all,i,can,say,is,i've,done ,got,me,a,good,education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310445,48,B,135.37,137.37,2.0,we done graduated from santa monica high school ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,we,done ,graduated,from,santa,monica,high,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310553,98,B,186.62,190.35,3.73,have you done participated in the linguistic study before ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,have,you,done ,participated,in,the,linguistic,study,before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310572,75,B,429.4,432.97,3.57,well they've done tried that well not the iraqis ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well,they've,done ,tried,that,well,not,the,iraqis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310608,98,A,390.64,403.94,13.3,and we're like what and they're like well they just damned done blown up the world trade center i'm like what and i mean you know we had no idea but except from hillbillies on the ga- in the gas stations you know i mean it was like ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,we're,like,what,and,they're,like,well,they,just,damned,done ,blown,up,the,world,trade,center,i'm,like,what,and,i,mean,you,know,we,had,no,idea,but,except,from,hillbillies,on,the,ga-,in,the,gas,stations,you,know,i,mean,it,was,like,,,,
fe0310640,34,A,101.58,113.14,11.56,yeah yeah and this is like it's like really done got kind of ridiculous you know just for a you know the kids coming up now you know say oh i wanna be a basketball player you know it's 'cause they see um ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,yeah,and,this,is,like,it's,like,really,done ,got,kind,of,ridiculous,you,know,just,for,a,you,know,the,kids,coming,up,now,you,know,say,oh,i,wanna,be,a,basketball,player,you,know,it's,'cause,they,see,um,,,,,,,
fe0310645,76,A,260.49,269.86,9.37,um believe it or not you can still find some you you you can watch t.v. and still find nothing to watch really 'cause it's so much more but you done seen a lot of it ,1,1,,,,,,,,,,,,,,,,um,believe,it,or,not,you,can,still,find,some,you,you,you,can,watch,t.v.,and,still,find,nothing,to,watch,really,'cause,it's,so,much,more,but,you,done ,seen,a,lot,of,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310716,142,B,443.05,457.04,13.99,we do different things as as opposed to like doing the same thing over and over again so it won't get boring and you know what i mean once you've been with a person for so long that you done did just about everything there is to do you know what is you know ,1,1,,,,,,,we,do,different,things,as,as,opposed,to,like,doing,the,same,thing,over,and,over,again,so,it,won't,get,boring,and,you,know,what,i,mean,once,you've,been,with,a,person,for,so,long,that,you,done ,did,just,about,everything,there,is,to,do,you,know,what,is,you,know,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0311117,66,B,254.57,261.61,7.04,i'm sure i could have done i mean i i you know we could have done followed those paths right ,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i'm,sure,i,could,have,done,i,mean,i,i,you,know,we,could,have,done ,followed,those,paths,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0311357,145,A,453.39,456.93,3.54,she's not pregnant anymore she's already done picked up a cigarette ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,she's,not,pregnant,anymore,she's,already,done ,picked,up,a,cigarette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0311468,129,A,320.25,321.81,1.56,and they done got older ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,they,done ,got,older,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0311468,142,A,381.19,392.26,11.07,on holidays but now that she done grew up and got her own house and got a husband i be like mom they might not come over because they got they own thing you know this might be their first thanksgiving in their home their first christmas ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,holidays,but,now,that,she,done ,grew,up,and,got,her,own,house,and,got,a,husband,i,be,like,mom,they,might,not,come,over,because,they,got,they,own,thing,you,know,this,might,be,their,first,thanksgiving,in,their,home,their,first,christmas
fe0311634,157,B,260.66,262.89,2.23,i done got like two or three today ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,done ,got,like,two,or,three,today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
