File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27
ATL_se0_ag1_m_01_1,214,ATL_se0_ag1_m_01,298.0746,300.0073,1.9327,1,1,N- you done came to find some more shit.,you,came,you_done_came,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,N-,you,done ,came,to,find,some,more,shit.,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,2091,ATL_se0_ag1_m_03,2361.6825,2364.6302,2.9477,1,1,"I'm like, come on, man, not agai- y'all done already jumped- come on, man.",y'all,jumped,y'all_done_jumped,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,I'm,"like,",come,"on,","man,",not,agai-,y'all,done ,already,jumped-,come,"on,",man.,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_1,650,ATL_se0_ag1_m_04,873.7069,877.2424,3.5355,1,1,before they even realize what you got. And a lot of people- I done had people,I,had,I_done_had,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,before,they,even,realize,what,you,got.,And,a,lot,of,people-,I,done ,had,people,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_1,686,ATL_int_01,930.7423,934.9223,4.18,1,1,Hold up now cause I- I done been to a couple your shows. I haven't been to all of 'em,I,been,I_done_been,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,Hold,up,now,cause,I-,I,done ,been,to,a,couple,your,shows.,I,haven't,been,to,all,of,'em,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_2,245,ATL_int_01,335.5831,338.732,3.1489,1,1,"I mean, nobody had done been, um, coming to you tryna push that",nobody,been,nobody_done_been,PronounIndefinite,VerbPastParticiple,PronounIndefinite_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,I,"mean,",nobody,had,done ,"been,","um,",coming,to,you,tryna,push,that,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_05_1,659,ATL_int_01,1028.3039,1029.7061,1.4022,1,1,I done did a few folks,I,did,I_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,I,done ,did,a,few,folks,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_05_1,1080,ATL_se0_ag1_m_05,1640.326,1643.3616,3.0356,1,1,"uh, you done went out let's say a night after that as well too,",you,went,you_done_went,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,"uh,",you,done ,went,out,let's,say,a,night,after,that,as,well,"too,",,,,,,,,,,,,,,,,
ATL_se0_ag2_m_01_1,593,ATL_se0_ag2_m_01,766.4818,769.6417,3.1599,1,1,"It gets rogue because you done depressed yourself so much,",you,depressed,you_done_depressed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,It,gets,rogue,because,you,done ,depressed,yourself,so,"much,",,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_02_1,2088,ATL_int_01,2380.5215,2382.638,2.1165,1,1,you more than welcome. We pretty much done hit,we,hit,we_done_hit,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,you,more,than,welcome.,We,pretty,much,done ,hit,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_03_1,370,ATL_se0_ag2_m_03,447.8173,451.7859,3.9686,1,1,you feel me. It's- it's a lot of people that done got influenced from Atlanta cause Atlanta was like,that,influenced,that_done_influenced,PronounRelative,VerbPastParticiple,PronounRelative_done_VerbPastParticiple,,,,,,,,,,,,,you,feel,me.,It's-,it's,a,lot,of,people,that,done ,got,influenced,from,Atlanta,cause,Atlanta,was,like,,,,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_03_1,492,ATL_int_01,604.3692,608.3481,3.9789,1,1,the Migos kind of just really highlighting some shit we done already known.,we,known,we_done_known,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,the,Migos,kind,of,just,really,highlighting,some,shit,we,done ,already,known.,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_03_1,687,ATL_se0_ag2_m_03,877.0895,880.8481,3.7586,2,1,"that weed, I done- I done got a little edge on that shit, you know what I mean, unless I'm'a just blow it",I,got,I_done_got,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,that,"weed,",I,done-,I,done ,got,a,little,edge,on,that,"shit,",you,know,what,I,"mean,",unless,I'm'a,just,blow,it,,,,,,,,,,
ATL_se0_ag2_m_03_1,1514,ATL_se0_ag2_m_03,1906.3866,1910.9121,4.5255,1,1,"l- let me call your auntie. Nigga, you supposed to know this shit. Bitch, you done went to- to the- to the mother fucking",you,went,you_done_went,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,l-,let,me,call,your,auntie.,"Nigga,",you,supposed,to,know,this,shit.,"Bitch,",you,done ,went,to-,to,the-,to,the,mother,fucking,,,,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_03_1,1784,ATL_se0_ag2_m_03,2282.5681,2285.1203,2.5522,1,1,"I done hit the blunt, like I don't feel that shit right now.",I,hit,I_done_hit,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,I,done ,hit,the,"blunt,",like,I,don't,feel,that,shit,right,now.,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_03_1,2007,ATL_se0_ag2_m_03,2561.3532,2563.2079,1.8547,1,1,"oh, this nigga done played me, bruh.",nigga,played,nigga_done_played,Noun,VerbPastParticiple,Noun_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,"oh,",this,nigga,done ,played,"me,",bruh.,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_03_1,2141,ATL_se0_ag2_m_03,2748.1853,2752.7328,4.5475,1,1,"The street grind is strong, you feel me, but it all depend on how your street grind is. Now I seen niggas done blew",niggas,blew,niggas_done_blew,Noun,VerbPastParticiple,Noun_done_VerbPastParticiple,The,street,grind,is,"strong,",you,feel,"me,",but,it,all,depend,on,how,your,street,grind,is.,Now,I,seen,niggas,done ,blew,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_03_1,2142,ATL_se0_ag2_m_03,2753.1078,2756.6034,3.4956,1,1,"off of that street grind shit, you feel me. I done seen niggas like, you know what I mean,",I,seen,I_done_seen,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,off,of,that,street,grind,"shit,",you,feel,me.,I,done ,seen,niggas,"like,",you,know,what,I,"mean,",,,,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_03_1,2190,ATL_se0_ag2_m_03,2828.1548,2833.7475,5.5927,5,1,"I done s- I done- I done s- I done seen- I done heard your shit on a couple of niggas' shit, and niggas really wasn't spitting shit.",I,heard,I_done_heard,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,I,done,s-,I,done-,I,done,s-,I,done,seen-,I,done ,heard,your,shit,on,a,couple,of,niggas',"shit,",and,niggas,really,wasn't,spitting,shit.,,,,,,,,,,,,
DCA_se1_ag1_f_02_1,1274,DCA_se1_ag1_f_02,1388.5287,1389.7737,1.245,1,1,cause I done holler at her back.,I,holler,I_done_holler,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,cause,I,done ,holler,at,her,back.,,,,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag1_f_02_1,1323,DCA_se1_ag1_f_02,1460.2396,1465.2791,5.0395,1,1,You done did all the work like you said. I did this. I did this. She won't let you read your library books or nothing.,you,did,you_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,You,done ,did,all,the,work,like,you,said.,I,did,this.,I,did,this.,She,won't,let,you,read,your,library,books,or,nothing.,,,,
DCA_se1_ag1_f_02_1,1445,DCA_se1_ag1_f_02,1611.5313,1612.3146,0.7833,1,1,She done make us-,she,make,she_done_make,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,,,,,,,,,,She,done ,make,us-,,,,,,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag1_f_03_1,525,DCA_int_04,822.9657,824.332,1.3663,1,1,"we're done, finished. Huh?",we,finished,we_done_finished,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,we're,"done,",finished.,Huh?,,,,,,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag1_m_03_1,983,DCA_se1_ag1_m_03,1020.9801,1023.8758,2.8957,2,2,"Cause they had done got the ruby, and they had done put it back.",they,got,they_done_got,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,Cause,they,had,done ,got,the,"ruby,",and,they,had,done,put,it,back.,,,,,,,,,,,,,,,,,
DCA_se1_ag1_m_03_1,983,DCA_se1_ag1_m_03,1020.9801,1023.8758,2.8957,2,2,"Cause they had done got the ruby, and they had done put it back.",they,put,they_done_put,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,Cause,they,had,done,got,the,"ruby,",and,they,had,done ,put,it,back.,,,,,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag1_m_03_1,1203,DCA_se1_ag1_m_03,1224.9988,1226.6215,1.6227,2,1,they done done in with Linc.,they,done,they_done_done,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,they,done,done ,in,with,Linc.,,,,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag4_m_01_1,14,DCA_se1_ag4_m_01,19.5696,24.1672,4.5976,1,1,"One other game we played, I done forgot the name of it now. Uh..",I,forgot,I_done_forgot,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,One,other,game,we,"played,",I,done ,forgot,the,name,of,it,now.,Uh..,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag4_m_01_1,59,DCA_se1_ag4_m_01,94.2277,96.4049,2.1772,1,1,you done automatically won your points then.,you,won,you_done_won,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,you,done ,automatically,won,your,points,then.,,,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag4_m_01_1,105,DCA_se1_ag4_m_01,179.8233,182.1523,2.329,1,1,"this crime story, but I done forgot the name of it!",I,forgot,I_done_forgot,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,this,crime,"story,",but,I,done ,forgot,the,name,of,it!,,,,,,,,,,,,,,,,,,,,,,
DCA_se1_ag4_m_01_1,251,DCA_se1_ag4_m_01,407.3017,408.999,1.6973,1,1,"I done forgot the name of it, uh-",I,forgot,I_done_forgot,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,I,done ,forgot,the,name,of,"it,",uh-,,,,,,,,,,,,,,,,,,,,,
DCA_se2_ag3_m_01_1,2578,DCA_se2_ag3_m_01,2724.9954,2730.399,5.4036,1,1,"you know, you don't have enough money to pay for it. You done order all this food up, you know, and you don't have enough money to pay for it.",you,order,you_done_order,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,you,"know,",you,don't,have,enough,money,to,pay,for,it.,You,done ,order,all,this,food,"up,",you,"know,",and,you,don't,have,enough,money,to,pay,for,it.,,,,,,,,,,
DCA_se2_ag3_m_02_1,582,DCA_se2_ag3_m_02,686.3159,687.9246,1.6087,1,1,"whatever his name was, I done forgot his name.",I,forgot,I_done_forgot,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,whatever,his,name,"was,",I,done ,forgot,his,name.,,,,,,,,,,,,,,,,,,,,,,,,
DCA_se3_ag1_f_04_1,720,DCA_se3_ag1_f_04,781.5161,783.2441,1.728,1,1,She done holler at me all the time.,she,holler,she_done_holler,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,,,,,,,,,,She,done ,holler,at,me,all,the,time.,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_f_02_1,2158,DCB_se1_ag2_f_02,3149.8151,3151.5991,1.784,1,1,"Like people done got killed at go gos,",people,killed,people_done_killed,Noun,VerbPastParticiple,Noun_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,Like,people,done ,got,killed,at,go,"gos,",,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_m_01_1,258,DCB_se1_ag2_m_01,385.6074,386.8599,1.2525,1,1,she done got honor roll since,she,got,she_done_got,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,she,done ,got,honor,roll,since,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_m_01_1,442,DCB_se1_ag2_m_01,636.2518,638.4675,2.2157,1,1,I don't- I done did a couple of romantic things.,I,did,I_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,I,don't-,I,done ,did,a,couple,of,romantic,things.,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_m_01_1,448,DCB_se1_ag2_m_01,647.523,648.7585,1.2355,1,1,See well I can't- she done did that.,she,did,she_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,See,well,I,can't-,she,done ,did,that.,,,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_m_01_1,2741,DCB_se1_ag2_m_01,3743.4447,3749.9417,6.497,1,1,"you understand that this shit this woman done did for me like she did so much shit for me like and I just grow to appreciate it, you know what I'm saying. Like at first,",woman,did,woman_done_did,Noun,VerbPastParticiple,Noun_done_VerbPastParticiple,,,,,,,,,,,,,,,,you,understand,that,this,shit,this,woman,done ,did,for,me,like,she,did,so,much,shit,for,me,like,and,I,just,grow,to,appreciate,"it,",you,know,what,I'm,saying.,Like,at,"first,"
DCB_se1_ag2_m_01_1,3039,DCB_se1_ag2_m_01,4144.7412,4147.9359,3.1947,1,1,Every time I get around you I'm thinking about how you done hung my ancestors.,you,hung,you_done_hung,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,Every,time,I,get,around,you,I'm,thinking,about,how,you,done ,hung,my,ancestors.,,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_m_01_1,3126,DCB_se1_ag2_m_01,4265.6561,4269.7708,4.1147,1,1,"You done bust out with something exclusive, you got a brand new ass blue shirt on now.",you,bust,you_done_bust,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,,,,,,,,,,You,done ,bust,out,with,something,"exclusive,",you,got,a,brand,new,ass,blue,shirt,on,now.,,,,,,,,,,,,
DCB_se1_ag2_m_02_1,180,DCB_se1_ag2_m_02,222.1131,223.7922,1.6791,1,1,"like I done seen it in myself,",I,seen,I_done_seen,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,like,I,done ,seen,it,in,"myself,",,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag2_m_02_2,367,DCB_se1_ag2_m_02,515.5117,517.0977,1.586,1,1,confused they done had us,they,had,they_done_had,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,confused,they,done ,had,us,,,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag3_m_02_1,232,DCB_se1_ag3_m_02,289.6276,293.4626,3.835,1,1,"I would s- for me, for my age and what I done picked up off it,",I,picked,I_done_picked,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,I,would,s-,for,"me,",for,my,age,and,what,I,done ,picked,up,off,"it,",,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag3_m_02_1,386,DCB_se1_ag3_m_02,537.9699,540.1189,2.149,1,1,"I done lived in DC probably about,",I,lived,I_done_lived,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,I,done ,lived,in,DC,probably,"about,",,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag3_m_02_2,232,DCB_se1_ag3_m_02,357.4537,358.9784,1.5247,1,1,I done been to every,I,been,I_done_been,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,I,done ,been,to,every,,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag3_m_02_2,234,DCB_se1_ag3_m_02,359.3626,363.3372,3.9746,1,1,game that I like I done been to one except DC United game.,I,been,I_done_been,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,game,that,I,like,I,done ,been,to,one,except,DC,United,game.,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag4_f_01_1,50,DCB_se1_ag4_f_01,39.3426,41.9198,2.5772,1,1,They done tore it down but the building is still there.,they,tore,they_done_tore,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,,,,,,,,,,They,done ,tore,it,down,but,the,building,is,still,there.,,,,,,,,,,,,,,,,,,
DCB_se1_ag4_f_01_2,1000,DCB_se1_ag4_f_01,1157.0973,1161.6499,4.5526,1,1,"So y- it's not like you can't tell me nothing but if I'm telling you something that I done been through,",I,been,I_done_been,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,So,y-,it's,not,like,you,can't,tell,me,nothing,but,if,I'm,telling,you,something,that,I,done ,been,"through,",,,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag4_f_01_2,1407,DCB_se1_ag4_f_01,1628.1107,1629.1267,1.016,1,1,it done got worse.,it,worse,it_done_worse,PronounPersonal,Adjective,PronounPersonal_done_Adjective,,,,,,,,,,,,,,,,,,,,,,it,done ,got,worse.,,,,,,,,,,,,,,,,,,,,,,,,,
