File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40
fe0300323,159,A,499.76,508.43,8.67,1,1,i don't think that's good enough though  like too bad for him because they've tried for three years and she's done bent over backwards for the guy and everything ,she,bent,she_done_bent,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,i,don't,think,that's,good,enough,though,like,too,bad,for,him,because,they've,tried,for,three,years,and,she's,done ,bent,over,backwards,for,the,guy,and,everything,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300441,25,A,63.3,65.66,2.36,1,1,i done forgot the name of that company but it was a real ,I,forgot,I_done_forgot,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,done ,forgot,the,name,of,that,company,but,it,was,a,real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300505,116,B,227.77,229.4,1.63,1,1,i done missed a ten dollar phone call ,I,missed,I_done_missed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,done ,missed,a,ten,dollar,phone,call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300783,15,B,45.89,55.01,9.12,1,1,yes any money in pockets to pay somebody to do them for you that comes later after you've done made all the money you could  but yeah really especially in the ozarks ,you,made,you_done_made,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,yes,any,money,in,pockets,to,pay,somebody,to,do,them,for,you,that,comes,later,after,you've,done ,made,all,the,money,you,could,but,yeah,really,especially,in,the,ozarks,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300972,218,A,595.31,599.9,4.59,1,1,and after we had done went through it like three times spent about two hundred bucks on ,we,went,we_done_went,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,after,we,had,done ,went,through,it,like,three,times,spent,about,two,hundred,bucks,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0301176,63,B,160.63,168.34,7.71,1,1,and i had done registered for a lot of them before i ever found um the money and shopping dot com so i know that there are some on there that i have not registered at yet but um ,I,registered,I_done_registered,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,i,had,done ,registered,for,a,lot,of,them,before,i,ever,found,um,the,money,and,shopping,dot,com,so,i,know,that,there,are,some,on,there,that,i,have,not,registered,at,yet,but,um,,,,,
fe0302112,157,B,475.24,481.01,5.77,1,1,he's gone now she done moved to new york and married another guy so i don't talk to her very often any more  ,she,moved,she_done_moved,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,he's,gone,now,she,done ,moved,to,new,york,and,married,another,guy,so,i,don't,talk,to,her,very,often,any,more,,,,,,,,,,,,,,,,,,,,,,
fe0302457,126,B,371.51,374.4,2.89,1,1,no he no he's not done trained ,he,trained,he_done_trained,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,he,no,he's,not,done ,trained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0302649,28,B,99.59,108.68,9.09,1,1,   you'll notice that all other holidays either you spend this   or you spend that and you get now you're trying to make up the money you done spent  ,you,spent,you_done_spent,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,you'll,notice,that,all,other,holidays,either,you,spend,this,or,you,spend,that,and,you,get,now,you're,trying,to,make,up,the,money,you,done ,spent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0303309,89,A,237.15,242.8,5.65,3,1,done done taken care of that all done  yeah ,constituentbounday,taken,constituentbounday_done_taken,ConstituentBoundary,VerbPastParticiple,ConstituentBoundary_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,done,done,taken,care,of,that,all,done ,yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0303448,114,B,407.78,416.37,8.59,2,1,a true friend somebody who when i know i done did something terrible like my fiance when i done something terrible i go to him and tell him ,I,did,I_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,TRUE,friend,somebody,who,when,i,know,i,done,did,something,terrible,like,my,fiance,when,i,done ,something,terrible,i,go,to,him,and,tell,him,,,,,,,,,,,,,,,,,,,,,,
fe0303451,91,A,260.76,273.69,12.93,1,1,b. j. really doesn't care i mean he's older than me and he's done went through all that you know where he partied and all that and you know and i'm just now ,he,went,he_done_went,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,b.,j.,really,doesn't,care,i,mean,he's,older,than,me,and,he's,done ,went,through,all,that,you,know,where,he,partied,and,all,that,and,you,know,and,i'm,just,now,,,,,,,,,,,,,,,,,,,,,
fe0304229,81,B,254.46,260.46,6,1,1,i feel you did the right thing but i guess you have guilt feelings about it and you think you should have done  had the baby right   ,you,had,you_done_had,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,i,feel,you,did,the,right,thing,but,i,guess,you,have,guilt,feelings,about,it,and,you,think,you,should,have,done ,had,the,baby,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0304308,185,B,495.91,506.85,10.94,2,1,has kinda worked itself out or is no longer important you know like the whole career thing it's kinda like i've done been there done that ,I,there,I_done_there,PronounPersonal,Adverb,PronounPersonal_done_Adverb,,,,,,,,,,,,,,,,,,,has,kinda,worked,itself,out,or,is,no,longer,important,you,know,like,the,whole,career,thing,it's,kinda,like,i've,done,been,there,done ,that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0304688,43,A,158.35,164.72,6.37,1,1,and they send it  i get it sometimes i guess some people done sold my paper before i go downstairs and get it  ,people,sold,people_done_sold,Noun,VerbPastParticiple,Noun_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,they,send,it,i,get,it,sometimes,i,guess,some,people,done ,sold,my,paper,before,i,go,downstairs,and,get,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0304707,37,A,106.36,114.94,8.58,1,1, well it was friday night and saturday morning and   i played i played this other guy that that's a church member and we done played some chess  so   ,we,played,we_done_played,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,well,it,was,friday,night,and,saturday,morning,and,i,played,i,played,this,other,guy,that,that's,a,church,member,and,we,done ,played,some,chess,so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305302,33,A,86.57,90.41,3.84,1,1,and by the time you figure out what it is it's probably done killed a million people ,it,killed,it_done_killed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,by,the,time,you,figure,out,what,it,is,it's,probably,done ,killed,a,million,people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305348,17,A,24.14,30.35,6.21,1,1,hell yeah  i done been divorced it didn't happen that first time   ,I,divorced,I_done_divorced,PronounPersonal,Adjective,PronounPersonal_done_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hell,yeah,i,done ,been,divorced,it,didn't,happen,that,first,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305348,172,A,421.35,424.85,3.5,1,1,cause i'm telling you i mean i done been through the rehab and all that other crap you know ,I,been,I_done_been,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cause,i'm,telling,you,i,mean,i,done ,been,through,the,rehab,and,all,that,other,crap,you,know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305358,17,B,34.18,38.11,3.93,1,1, well what was it they ask us uh what is   i done forget what they ask  ,I,forget,I_done_forget,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well,what,was,it,they,ask,us,uh,what,is,i,done ,forget,what,they,ask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305469,93,A,261.7,270.4,8.7,1,1,okay now they they done fought for their right to smoke and vote and do all of that and now you wanna take the right back from them as well as from the men ,they,fought,they_done_fought,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,okay,now,they,they,done ,fought,for,their,right,to,smoke,and,vote,and,do,all,of,that,and,now,you,wanna,take,the,right,back,from,them,as,well,as,from,the,men,,,,,,,,,,,
fe0305476,56,A,152.43,161,8.57,1,1, and we should be uncomfortable 'cause they over here we done taught them all kinds of things you know what i'm saying if they wanted to go postal on us they could  ,we,taught,we_done_taught,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,we,should,be,uncomfortable,'cause,they,over,here,we,done ,taught,them,all,kinds,of,things,you,know,what,i'm,saying,if,they,wanted,to,go,postal,on,us,they,could,,,,,,,,,,,,,,,,,,,
fe0305829,22,A,36.18,41.55,5.37,1,1,yeah they ripped apart the they've done ripped apart the stock market that's for sure ,they,ripped,they_done_ripped,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,they,ripped,apart,the,they've,done ,ripped,apart,the,stock,market,that's,for,sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0306070,43,B,127.41,131.04,3.63,1,1,oh wait a minute i've done got confused j. n. l. ,I,confused,I_done_confused,PronounPersonal,Adjective,PronounPersonal_done_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh,wait,a,minute,i've,done ,got,confused,j.,n.,l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0306070,121,B,336.51,348.9,12.39,1,1,my mother she wouldn't even fool with it she says oh i done got too old i'm not gonna learn so you have to just be willing to to to do it but d- do they have educational uh uh ,I,old,I_done_old,PronounPersonal,Adjective,PronounPersonal_done_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,my,mother,she,wouldn't,even,fool,with,it,she,says,oh,i,done ,got,too,old,i'm,not,gonna,learn,so,you,have,to,just,be,willing,to,to,to,do,it,but,d-,do,they,have,educational,uh,uh,,,,,,,,,,,,,
fe0306190,36,B,89.74,93.14,3.4,1,1,they should've done been in but it's just been so wet ,they,been,they_done_been,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,should've,done ,been,in,but,it's,just,been,so,wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0306333,122,B,429.77,440.2,10.43,1,1,and the doctor said well since you've cut down so dramatically from what you were smoking you know you've probably done did the baby more good than you did harm you know by smoking ,you,did,you_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,and,the,doctor,said,well,since,you've,cut,down,so,dramatically,from,what,you,were,smoking,you,know,you've,probably,done ,did,the,baby,more,good,than,you,did,harm,you,know,by,smoking,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0306857,37,B,113.92,119.52,5.6,1,1,well you see i mine i guess they done met all all that 'cause you know like i said when i took my sister out there they um ,they,met,they_done_met,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well,you,see,i,mine,i,guess,they,done ,met,all,all,that,'cause,you,know,like,i,said,when,i,took,my,sister,out,there,they,um,,,,,,,,,,,,,,,,,,,,,
fe0307047,151,A,454.48,467.17,12.69,1,1,  well i i signed up on it it was kind of a happened upon it type thing and i didn't bookmark it and i was like okay  'cause i've done completed one call and i was like oh where do i go back and check  it out  ah ,I,completed,I_done_completed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,well,i,i,signed,up,on,it,it,was,kind,of,a,happened,upon,it,type,thing,and,i,didn't,bookmark,it,and,i,was,like,okay,'cause,i've,done ,completed,one,call,and,i,was,like,oh,where,do,i,go,back,and,check,it,out,ah,,,,,,,,,,,,,,,,,,,,,,
fe0307151,90,A,215.38,223.31,7.93,1,1,but only just the internet part that's the only part i know how to use but right now i done did something to it that i really don't even know what's wrong with it ,I,did,I_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,but,only,just,the,internet,part,that's,the,only,part,i,know,how,to,use,but,right,now,i,done ,did,something,to,it,that,i,really,don't,even,know,what's,wrong,with,it,,,,,,,,,,,,,,,,,,,,,,,,,,
