File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40
fe0307301,65,A,234.76,239.77,5.01,1,1,yeah you done had your fill of the deli meats by then haven't you ,you,had,you_done_had,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,you,done ,had,your,fill,of,the,deli,meats,by,then,haven't,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307364,10,B,37.51,41.39,3.88,1,1,ah now you know i done got confused now  ,I,confused,I_done_confused,PronounPersonal,Adjective,PronounPersonal_done_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ah,now,you,know,i,done ,got,confused,now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307458,91,B,199.34,201.36,2.02,1,1,all of 'em done did albums ,all,did,all_done_did,PronounIndefinite,VerbPastParticiple,PronounIndefinite_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all,of,'em,done ,did,albums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307458,146,B,329.05,332.45,3.4,1,1,how much time do you think we done did   ,we,did,we_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,how,much,time,do,you,think,we,done ,did,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307910,59,B,204.16,208.73,4.57,1,1,and i can count on just on my my my one hand how many best friends i done had ,I,had,I_done_had,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,and,i,can,count,on,just,on,my,my,my,one,hand,how,many,best,friends,i,done ,had,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308273,112,A,338.06,347.03,8.97,1,1,this is her first time having a call she said she didn't know wh-  i'm talk telling my husband didn't know what we're supposed to talk about 'cause we're done finished talking about the censorship ,we,finished,we_done_finished,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,this,is,her,first,time,having,a,call,she,said,she,didn't,know,wh-,i'm,talk,telling,my,husband,didn't,know,what,we're,supposed,to,talk,about,'cause,we're,done ,finished,talking,about,the,censorship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308322,217,B,520.03,525.83,5.8,3,2,don't do nothing too strenuous 'cause you know next thing you know you done you done broke your you done throw your back out or something ,you,broke,you_done_broke,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,don't,do,nothing,too,strenuous,'cause,you,know,next,thing,you,know,you,done,you,done ,broke,your,you,done,throw,your,back,out,or,something,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308322,217,B,520.03,525.83,5.8,3,2,don't do nothing too strenuous 'cause you know next thing you know you done you done broke your you done throw your back out or something ,you,throw,you_done_throw,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,,,,,,,,,don't,do,nothing,too,strenuous,'cause,you,know,next,thing,you,know,you,done,you,done,broke,your,you,done ,throw,your,back,out,or,something,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308377,32,B,135.44,142.04,6.6,2,1, it was some woman doing it i done forgot now but you know  i've done it it's been a while yeah ,I,forgot,I_done_forgot,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it,was,some,woman,doing,it,i,done,forgot,now,but,you,know,i've,done ,it,it's,been,a,while,yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308420,80,B,274.1,276.69,2.59,1,1,have you done been doing this long or ,you,doing,you_done_doing,PronounPersonal,VerbPresentParticiple,PronounPersonal_done_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,have,you,done ,been,doing,this,long,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308797,17,B,40.16,44.24,4.08,3,2,that's i know i've been where you're at and done been there done done that one ,I,there,I_done_there,PronounPersonal,Adverb,PronounPersonal_done_Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,that's,i,know,i've,been,where,you're,at,and,done ,been,there,done,done,that,one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308797,17,B,40.16,44.24,4.08,3,2,that's i know i've been where you're at and done been there done done that one ,I,done,I_done_done,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,that's,i,know,i've,been,where,you're,at,and,done,been,there,done ,done,that,one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308941,168,B,584.69,596.27,11.58,1,1,and she said and she's eighty years old she said oh i was just sitting here si- rocking my babies and i looked at her i said rocking your babies i thought she'd done gone i was going oh something's wrong with her ,she,gone,she_done_gone,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,and,she,said,and,she's,eighty,years,old,she,said,oh,i,was,just,sitting,here,si-,rocking,my,babies,and,i,looked,at,her,i,said,rocking,your,babies,i,thought,she'd,done ,gone,i,was,going,oh,something's,wrong,with,her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309084,70,A,226.91,235.67,8.76,1,1,oh so they can do that so they they done cooked all their lives now they want to go to um  to a diner and eat you know ,they,cooked,they_done_cooked,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh,so,they,can,do,that,so,they,they,done ,cooked,all,their,lives,now,they,want,to,go,to,um,to,a,diner,and,eat,you,know,,,,,,,,,,,,,,,,,,,,,,
fe0309129,148,A,398.19,401.58,3.39,1,1,ho- well how many times have you done used the hotline ,you,used,you_done_used,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ho-,well,how,many,times,have,you,done ,used,the,hotline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309409,19,A,50.64,53.17,2.53,1,1,now that they done killed the two brothers ,they,killed,they_done_killed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,now,that,they,done ,killed,the,two,brothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309753,127,B,390.62,399.06,8.44,1,1,mhm  well by that time everything else done gone up right  so we're back at square one  ,everything,gone,everything_done_gone,PronounIndefinite,VerbPastParticiple,PronounIndefinite_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mhm,well,by,that,time,everything,else,done ,gone,up,right,so,we're,back,at,square,one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309957,73,A,199.2,203.15,3.95,1,1,one 'posed to come around 'bout three but it seemed like it done passed over ,it,passed,it_done_passed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,one,'posed,to,come,around,'bout,three,but,it,seemed,like,it,done ,passed,over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310000,45,A,112.76,116.56,3.8,1,1,cause i hav- i done heard a lotta of my friends be saying you know ,I,heard,I_done_heard,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cause,i,hav-,i,done ,heard,a,lotta,of,my,friends,be,saying,you,know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310237,76,B,274.24,282.03,7.79,1,1,yeah it changed the whole lot all the years society done changed a lot they ain't got a whole lotta things that are modern than they would back long time ago when ,society,changed,society_done_changed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,it,changed,the,whole,lot,all,the,years,society,done ,changed,a,lot,they,ain't,got,a,whole,lotta,things,that,are,modern,than,they,would,back,long,time,ago,when,,,,,,,,,,,,,,,,,,,
fe0310239,147,A,456.29,459.93,3.64,1,1,mhm mhm you done got quiet on me ,you,quiet,you_done_quiet,PronounPersonal,Adjective,PronounPersonal_done_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mhm,mhm,you,done ,got,quiet,on,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310371,13,A,24.6,29.44,4.84,1,1,we- well all i can say is i've done got me a good education ,I,got,I_done_got,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,we-,well,all,i,can,say,is,i've,done ,got,me,a,good,education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310445,48,B,135.37,137.37,2,1,1,we done graduated from santa monica high school ,we,graduated,we_done_graduated,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,we,done ,graduated,from,santa,monica,high,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310553,98,B,186.62,190.35,3.73,1,1,have you done participated in the linguistic study before ,you,participated,you_done_participated,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,have,you,done ,participated,in,the,linguistic,study,before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310572,75,B,429.4,432.97,3.57,1,1,well they've done tried that well not the iraqis ,they,tried,they_done_tried,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well,they've,done ,tried,that,well,not,the,iraqis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310608,98,A,390.64,403.94,13.3,1,1,and we're like what and they're like well they just damned done blown up the world trade center i'm like what and i mean you know we had no idea but except from hillbillies on the ga- in the gas stations you know i mean it was like ,they,blown,they_done_blown,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,we're,like,what,and,they're,like,well,they,just,damned,done ,blown,up,the,world,trade,center,i'm,like,what,and,i,mean,you,know,we,had,no,idea,but,except,from,hillbillies,on,the,ga-,in,the,gas,stations,you,know,i,mean,it,was,like,,,,
fe0310640,34,A,101.58,113.14,11.56,1,1,yeah yeah and this is like it's like really done got kind of ridiculous you know just for a you know the kids coming up now you know say oh i wanna be a basketball player you know it's 'cause they see um ,it,ridiculous,it_done_ridiculous,PronounPersonal,Adjective,PronounPersonal_done_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,yeah,and,this,is,like,it's,like,really,done ,got,kind,of,ridiculous,you,know,just,for,a,you,know,the,kids,coming,up,now,you,know,say,oh,i,wanna,be,a,basketball,player,you,know,it's,'cause,they,see,um,,,,,,,
fe0310645,76,A,260.49,269.86,9.37,1,1,um believe it or not you can still find some you you you can watch t.v. and still find nothing to watch really 'cause it's so much more but you done seen a lot of it ,you,seen,you_done_seen,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,um,believe,it,or,not,you,can,still,find,some,you,you,you,can,watch,t.v.,and,still,find,nothing,to,watch,really,'cause,it's,so,much,more,but,you,done ,seen,a,lot,of,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310716,142,B,443.05,457.04,13.99,1,1,we do different things as as opposed to like doing the same thing over and over again so it won't get boring and you know what i mean once you've been with a person for so long that you done did just about everything there is to do you know what is you know ,you,did,you_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,we,do,different,things,as,as,opposed,to,like,doing,the,same,thing,over,and,over,again,so,it,won't,get,boring,and,you,know,what,i,mean,once,you've,been,with,a,person,for,so,long,that,you,done ,did,just,about,everything,there,is,to,do,you,know,what,is,you,know,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0311117,66,B,254.57,261.61,7.04,2,1,i'm sure i could have done i mean i i you know we could have done followed those paths right ,we,followed,we_done_followed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,i'm,sure,i,could,have,done,i,mean,i,i,you,know,we,could,have,done ,followed,those,paths,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0311357,145,A,453.39,456.93,3.54,1,1,she's not pregnant anymore she's already done picked up a cigarette ,she,picked,she_done_picked,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,she's,not,pregnant,anymore,she's,already,done ,picked,up,a,cigarette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0311468,129,A,320.25,321.81,1.56,1,1,and they done got older ,they,older,they_done_older,PronounPersonal,Adjective,PronounPersonal_done_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,they,done ,got,older,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0311468,142,A,381.19,392.26,11.07,1,1,on holidays but now that she done grew up and got her own house and got a husband i be like mom they might not come over because they got they own thing you know this might be their first thanksgiving in their home their first christmas ,she,grew,she_done_grew,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,holidays,but,now,that,she,done ,grew,up,and,got,her,own,house,and,got,a,husband,i,be,like,mom,they,might,not,come,over,because,they,got,they,own,thing,you,know,this,might,be,their,first,thanksgiving,in,their,home,their,first,christmas
fe0311634,157,B,260.66,262.89,2.23,1,1,i done got like two or three today ,I,got,I_done_got,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,done ,got,like,two,or,three,today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,