,PredicatePOSRawCount,PredicatePOSNormalizedCount,PredicatePOSPercentTotal,PredicatePOSFileRawCount,PredicatePOSFilePercentTotal,PredicatePOSFileList
VerbBase,355,25.724,32.69,85,36.8,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_f_01_1', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag1_m_01_1', 'DCA_se1_ag1_m_02_1', 'DCA_se1_ag1_m_04_1', 'DCA_se1_ag1_m_05_1', 'DCA_se1_ag1_m_07_1', 'DCA_se1_ag3_f_01_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_01_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_f_05_1', 'DCA_se2_ag1_m_01_1', 'DCA_se2_ag1_m_05_1', 'DCA_se2_ag2_m_02_1', 'DCA_se2_ag3_m_02_1', 'DCA_se3_ag1_f_03_1', 'DCA_se3_ag1_f_04_1', 'DCA_se3_ag1_m_06_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_02_2', 'DCB_se1_ag2_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_f_02_1', 'DCB_se1_ag3_f_02_2', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag2_f_02_1', 'DCB_se2_ag3_f_02_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag1_f_01_1', 'DCB_se3_ag3_f_02_1', 'DCB_se3_ag3_m_02_1', 'DCB_se3_ag4_m_01_1', 'LES_se0_ag3_m_01_1', 'LES_se0_ag3_m_01_2', 'LES_se0_ag4_f_01_2', 'PRV_se0_ag1_f_01_1', 'PRV_se0_ag1_f_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag2_m_02_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_01_2', 'PRV_se0_ag3_m_02_2', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag1_m_03_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag2_f_02_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_01_1', 'VLD_se0_ag4_f_02_1', 'VLD_se0_ag4_m_02_1']"
VerbPastParticiple,153,11.087,14.09,58,25.11,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_01_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_06_1', 'DCA_se1_ag1_m_07_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag3_m_02_1', 'DCA_se3_ag1_f_03_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_f_02_1', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag3_f_02_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag1_f_01_1', 'DCB_se3_ag3_f_02_1', 'DCB_se3_ag3_m_02_1', 'LES_se0_ag2_f_01_2', 'LES_se0_ag4_m_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_02_2', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_f_04_3', 'PRV_se0_ag3_m_01_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_02_2', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag2_f_01_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_m_02_1']"
VerbPresentParticiple,146,10.579,13.44,51,22.08,"['ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_f_01_1', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_m_02_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_f_04_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_2', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_02_2', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_m_01_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag1_f_01_1', 'DCB_se2_ag3_m_02_2', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_f_03_2', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag1_m_01_2', 'DCB_se3_ag4_m_01_1', 'LES_se0_ag3_m_01_1', 'LES_se0_ag3_m_01_2', 'LES_se0_ag3_m_02_1', 'LES_se0_ag4_m_02_1', 'PRV_se0_ag1_f_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_02_2', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_m_02_1']"
ConstituentBoundary,124,8.985,11.42,52,22.51,"['ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_04_1', 'DCA_se1_ag1_m_06_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_f_04_1', 'DCA_se2_ag1_m_01_1', 'DCA_se3_ag1_f_03_1', 'DCA_se3_ag1_m_05_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag2_f_01_1', 'DCB_se2_ag2_m_01_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag3_m_02_2', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_m_02_1', 'LES_se0_ag2_f_02_2', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_02_2', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_02_2', 'PRV_se0_ag3_m_02_3', 'PRV_se0_ag3_m_03_1', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_01_1', 'VLD_se0_ag4_m_02_1']"
Noun,85,6.159,7.83,48,20.78,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se3_ag1_f_03_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag2_f_01_1', 'DCB_se2_ag3_f_02_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_m_02_1', 'DCB_se3_ag4_m_01_1', 'LES_se0_ag2_f_01_2', 'LES_se0_ag2_f_02_1', 'LES_se0_ag3_m_01_1', 'LES_se0_ag4_m_02_1', 'PRV_se0_ag1_f_02_2', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_01_1', 'PRV_se0_ag3_m_01_2', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_02_2', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_f_01_2', 'VLD_se0_ag3_m_01_1', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_02_1']"
Adjective,72,5.217,6.63,40,17.32,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_m_02_1', 'DCA_se1_ag1_m_07_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag3_m_02_1', 'DCA_se3_ag1_f_03_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_01_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_2', 'DCB_se1_ag2_m_02_3', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag1_f_01_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag4_f_02_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'LES_se0_ag3_m_01_1', 'PRV_se0_ag1_f_01_1', 'PRV_se0_ag1_f_02_2', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_01_2', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag4_m_02_1']"
PronounIndefinite,67,4.855,6.17,27,11.69,"['ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_01_1', 'DCA_se1_ag1_m_07_2', 'DCA_se1_ag4_m_02_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_f_02_1', 'DCB_se3_ag4_m_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_01_1', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag4_m_02_1']"
Preposition,46,3.333,4.24,30,12.99,"['ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag1_f_01_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_m_01_1', 'LES_se0_ag3_m_01_2', 'LES_se0_ag4_m_02_1', 'PRV_se0_ag1_f_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_02_1', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_02_1']"
Adverb,24,1.739,2.21,20,8.66,"['ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se2_ag1_f_05_1', 'DCA_se3_ag3_m_03_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag3_f_02_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_f_01_2', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_03_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_2']"
PronounPersonal,11,0.797,1.01,9,3.9,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag1_m_01_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_f_02_1']"
PronounRelative,2,0.145,0.18,2,0.87,"['DCB_se1_ag2_m_01_1', 'VLD_se0_ag3_m_01_2']"
PronounDemonstrative,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_03_1']
